"team1","team2","draw","odds1","odds2","drawodds","overodds","underodds","min1","min2","minX","minunder","minover","mg1","mg2","gg1","gg2","fg","lg","confirmed","league","id","player1_1","player1_2","player1_3","player1_4","player1_5","player1_6","player1_7","player1_8","player1_9","player1_10","player1_11","player2_1","player2_2","player2_3","player2_4","player2_5","player2_6","player2_7","player2_8","player2_9","player2_10","player2_11","bet1_1","bet1_2","bet1_3","bet1_4","bet1_5","bet1_6","bet1_7","bet1_8","bet1_9","bet1_10","bet1_11","bet2_1","bet2_2","bet2_3","bet2_4","bet2_5","bet2_6","bet2_7","bet2_8","bet2_9","bet2_10","bet2_11","xline1_1","xline1_2","xline1_3","xline1_4","xline1_5","xline1_6","xline1_7","xline1_8","xline1_9","xline1_10","xline1_11","xline2_1","xline2_2","xline2_3","xline2_4","xline2_5","xline2_6","xline2_7","xline2_8","xline2_9","xline2_10","xline2_11","gsline1_1","gsline1_2","gsline1_3","gsline1_4","gsline1_5","gsline1_6","gsline1_7","gsline1_8","gsline1_9","gsline1_10","gsline1_11","gsline2_1","gsline2_2","gsline2_3","gsline2_4","gsline2_5","gsline2_6","gsline2_7","gsline2_8","gsline2_9","gsline2_10","gsline2_11","expass1_1","expass1_2","expass1_3","expass1_4","expass1_5","expass1_6","expass1_7","expass1_8","expass1_9","expass1_10","expass1_11","expass2_1","expass2_2","expass2_3","expass2_4","expass2_5","expass2_6","expass2_7","expass2_8","expass2_9","expass2_10","expass2_11","exshots1_1","exshots1_2","exshots1_3","exshots1_4","exshots1_5","exshots1_6","exshots1_7","exshots1_8","exshots1_9","exshots1_10","exshots1_11","exshots2_1","exshots2_2","exshots2_3","exshots2_4","exshots2_5","exshots2_6","exshots2_7","exshots2_8","exshots2_9","exshots2_10","exshots2_11","exsogs1_1","exsogs1_2","exsogs1_3","exsogs1_4","exsogs1_5","exsogs1_6","exsogs1_7","exsogs1_8","exsogs1_9","exsogs1_10","exsogs1_11","exsogs2_1","exsogs2_2","exsogs2_3","exsogs2_4","exsogs2_5","exsogs2_6","exsogs2_7","exsogs2_8","exsogs2_9","exsogs2_10","exsogs2_11","pos1_1","pos1_2","pos1_3","pos1_4","pos1_5","pos1_6","pos1_7","pos1_8","pos1_9","pos1_10","pos1_11","pos2_1","pos2_2","pos2_3","pos2_4","pos2_5","pos2_6","pos2_7","pos2_8","pos2_9","pos2_10","pos2_11","importance1","importance2","logo1","logo2","time1","formation","manager1","manager2","goalie1","goalie2","day","min1_dif","min2_dif","minX_dif","minO_dif","minU_dif","min1s_dif","min2s_dif","date","americanOdds1","americanOdds2","americanOddsX","americanOddsU","americanOddsO","americanOdds1DC","americanOdds2DC"
"FC Lugano","Winterthur","draw",61.5,21.3,26.3,57.3,51,55,16.6,20.2,37.1,55.1,55.5,31.2,24,8.8,1520.6,848,"matt predicted","SUI Super League","3905533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.156604,NA,NA,NA,NA,NA,NA,NA,-17.9031,NA,NA,-17.9031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5154,NA,NA,NA,NA,NA,NA,NA,31.17338,NA,NA,31.17338,NA,NA,NA,NA,NA,NA,NA,NA,72.5,34.8,"https://images.fotmob.com/image_resources/logo/teamlogo/7896.png","https://images.fotmob.com/image_resources/logo/teamlogo/7894.png",2023-05-14 07:30:00,"4-2-3-1","Mattia Croci-Torti","Bruno Berner","amir saipi","markus kuster","20230514",-6.5,-4.7,-6.1,-2.2,-13.9,-12.6,-10.8,2023-05-14,-160,369,280,-104,-134,-720,110
"Feyenoord","Go Ahead Eagles","draw",88.2,7.1,13.3,73.7,33.6,66.5,9.6,17.6,41.8,53.7,85.8,83.8,31.8,18.2,1520.6,1712,"expected","NED Eredivisie","3900625","timon wellenreuther","marcus holmgren pedersen","lutsharel geertruida","david hancko","quilindschy hartman","orkun kkcü","mats wieffer","alireza jahanbakhsh","sebastian szymanski","oussama idrissi","santiago gimenez","isac lidberg","oliver edvardsen","willum willumsson","bobby adekanye","philippe rommens","xander blomme","bas kuipers","jay idzes","jamal amofa","mats deijl","jeffrey de lange","","","","","","","","","","","","","","","","","","","","","","","17.5439","11.7647","18.5185","17.8571","13.3333","42.5532","20.4082","47.6190","38.4615","45.4545","54.5455","18.1818","17.2414","16.9492","20.0000","10.5263","6.6667","7.6923","4.0000","2.7778","4.7619","18.8679","0.0000","3.0800","3.5925","7.8575","4.7200","17.5475","2.3150","29.4200","15.6275","33.0075","39.7675","19.9025","12.3000","10.2025","7.0125","1.5950","0.6750","5.6175","0.2750","0.1700","1.9500","0.0000",32.4431,42.4121,65.1227,75.0675,61.3303,70.396,56.8172,36.2948,34.5286,39.138,17.2743,17.5498,17.7981,35.4057,19.0151,40.9563,17.895,27.6889,38.7412,39.2706,30.4826,33.016,0,0.4991,0.5911,1.2169,0.5407,1.876,0.7328,2.6607,2.1422,2.4211,2.8548,1.5257,0.9555,1.2674,1.1561,0.5888,0.3238,0.6981,0.248,0.0274,0.3308,0,0,0.1061,0.1242,0.3622,0.244,0.7009,0.079,1.2631,0.6406,0.9012,1.2088,0.5848,0.337,0.4479,0.3852,0.1465,0.0806,0.1482,0.0537,0.0537,0.0668,0,0,1,1,1,1,2,2,3,3,3,5,5,3,3,3,2,2,1,1,1,1,0,8.5,0,"https://images.fotmob.com/image_resources/logo/teamlogo/10235.png","https://images.fotmob.com/image_resources/logo/teamlogo/6433.png",2023-05-14 07:45:00,"4-2-3-1","Arne Slot","Rene Hake","timon wellenreuther","jeffrey de lange","20230514",-21.7,2.4,4.2,-20,8.2,-17.5,6.6,2023-05-14,-747,1308,652,198,-280,6767,390
"FK Austria Vienna","Rapid Vienna","draw",43.5,37,29.4,59.4,49,37.9,36.5,22.9,36.5,55,20.5,18.3,18.6,20.2,444.9,686,"matt predicted","AUT Bundesliga","4143790","christian frchtl","reinhold ranftl","marvin martins","lukas mhl","andreas gruber","manuel polster","aleksandar jukic","matthias braunder","manfred fischer","dominik fitz","haris tabakovic","niklas hedl","kevin wimmer","michael sollbauer","martin moormann","jonas auer","roman kerschbaum","aleksa pejic","ante bajic","patrick greil","marco grll","guido burgstaller","","","","*","","","","","","","","","","","","","","","","","*","","21.7391","13.3333","5.2632","4.1667","34.4828","15.3846","16.9492","9.5238","9.5238","27.0270","57.4468","25.6410","7.1429","3.8462","3.8462","10.5263","11.7647","9.0909","21.7391","18.8679","23.2558","38.4615","0.0000","1.8225","1.9975","9.4925","14.1325","2.0200","6.7275","7.1125","10.4900","0.8275","53.3900","0.0000","4.1100","0.6725","4.5500","6.8675","9.1600","1.7075","7.8900","14.5225","30.6775","35.1925",34.3039,47.1956,43.6535,57.1911,24.7437,29.3497,35.1091,46.0074,46.3683,25.0632,16.3735,29.4346,48.984,37.841,44.8186,51.7136,40.4498,48.4057,24.4876,38.1887,23.251,19.7473,0,0.8425,0.2723,0.6695,1.2618,0.8584,1.1697,0.9038,1.6206,2.1483,2.7604,0,0.3342,0.2498,0.658,0.8394,1.2297,0.5242,1.6341,1.5573,2.2422,2.5583,0,0.1328,0.2599,0.1328,0.6345,0.0906,0.3354,0.1808,0.4478,0.5234,1.5026,0,0.1382,0.0939,0.1995,0.1426,0.2472,0.2773,0.546,0.4493,0.9865,1.0693,0,1,1,1,3,3,3,3,3,5,5,0,1,1,1,1,2,2,3,3,3,5,0,0,"https://images.fotmob.com/image_resources/logo/teamlogo/10011.png","https://images.fotmob.com/image_resources/logo/teamlogo/10015.png",2023-05-14 08:00:00,"3-5-2","Michael Wimmer","Zoran Barisic","christian frchtl","niklas hedl","20230514",-5.6,-0.5,-6.5,-4.3,-12.5,-12.1,-7.1,2023-05-14,130,170,240,104,-146,-269,-198
"AS Monaco","Lille","draw",36.4,41.7,27.8,62.1,42.7,27.4,44.1,25.1,50.7,47,133.6,82,48.7,15.2,645.1,2204,"expected","FRA Ligue 1","3904731","alexander nbel","ruben aguilar","axel disasi","chrislain matsima","ismail jakobs","vanderson","mohamed camara","youssouf fofana","aleksandr golovin","kevin volland","eliesse ben seghir","jonathan david","jonathan bamba","rmy cabella","edon zhegrova","benjamin andr","angel gomes","ismaily","alexsandro ribeiro","jos fonte","bafod diakité","lucas chevalier","","","","","","","","","","","","","","","","","","","","","","","11.7647","12.5000","14.2857","5.0000","10.5263","11.1111","11.1111","10.0000","24.3902","33.3333","32.2581","47.6190","32.2581","31.2500","28.5714","11.1111","22.7273","14.2857","11.7647","6.2500","11.7647","3.4483","0.0000","1.3925","8.7425","0.9400","1.3350","9.7550","2.1225","3.2875","16.5375","36.8400","7.4975","35.2250","8.8100","27.5050","17.2125","2.2075","11.9825","1.8350","10.5950","1.3550","2.9275","0.0000",28.8199,39.9488,43.5591,29.4482,40.6973,26.0999,42.71,43.8784,26.4061,19.6158,21.7993,19.7073,30.4718,47.0917,20.7518,58.6103,56.9796,45.38,60.4261,56.8813,53.2406,29.5463,0,0.399,0.6931,0.4185,0.2228,1.2224,0.5033,1.2072,1.3214,2.2482,1.5752,2.2816,1.4633,1.4732,1.9607,0.6855,1.1543,0.4875,0.9089,0.3824,0.2834,0,0,0.1111,0.2289,0.0758,0.1111,0.3885,0.1114,0.2972,0.573,1.0476,0.5431,0.9901,0.4242,0.7099,0.7586,0.1243,0.422,0.1205,0.358,0.0584,0.0836,0,0,1,1,1,1,3,3,3,3,5,5,5,3,3,3,2,2,1,1,1,1,0,4.1,1.2,"https://images.fotmob.com/image_resources/logo/teamlogo/9829.png","https://images.fotmob.com/image_resources/logo/teamlogo/8639.png",2023-05-14 08:05:00,"4-4-2","Philippe Clement","Paulo Fonseca","alexander nbel","lucas chevalier","20230514",-9,2.4,-2.7,-15.1,7.9,-11.7,-0.3,2023-05-14,175,140,260,134,-164,-179,-228
"Arsenal","Brighton and Hove Albion","draw",57.5,23.8,24.4,66.4,38.5,45.9,26.7,24.2,44.8,49.9,132.5,75.2,59.6,10.7,1520.6,2208,"expected","ENG Premier League","3901282","aaron ramsdale","ben white","jakub kiwior","gabriel","kieran tierney","jorginho","granit xhaka","bukayo saka","martin degaard","gabriel martinelli","gabriel jesus","evan ferguson","kaoru mitoma","alexis mac allister","julio enciso","billy gilmour","moiss caicedo","pervis estupinn","levi colwill","lewis dunk","pascal gross","jason steele","","","","","","","","","","","","","","*","","","","","","","","","3.4483","5.2632","6.2500","10.0000","5.2632","16.6667","18.1818","35.7143","29.4118","34.4828","41.6667","31.2500","20.8333","18.1818","25.6410","9.0909","9.0909","5.8824","5.0000","6.2500","14.2857","9.5238","0.0000","2.6325","2.9900","4.5050","5.9925","10.3725","3.6800","22.5025","12.9875","23.6875","31.1750","23.5650","11.8975","23.2700","6.4850","6.8775","3.5475","0.8450","6.4900","3.5650","2.4250","0.0000",26.6202,54.4068,42.3038,59.1041,41.5979,54.4552,48.9016,25.3802,48.8136,20.7238,17.8219,16.9725,31.1242,35.6433,16.111,45.4406,53.352,45.0555,49.8273,54.373,42.2844,43.0853,0,0.3842,0.3481,0.7763,0.7418,0.4891,1.5723,1.7784,1.7828,2.1873,2.3399,1.6866,1.4231,1.9597,0.7471,0.7194,0.8916,0.5016,0.2681,0.4442,0.5769,0,0,0.0846,0.0987,0.2184,0.2065,0.2653,0.3218,0.7059,0.5816,0.8311,0.9662,0.7076,0.5941,0.5816,0.3119,0.3505,0.0835,0.0672,0.1152,0.1653,0.1472,0,0,1,1,1,1,2,2,3,3,3,5,5,3,3,3,2,2,1,1,1,1,0,59.5,6.3,"https://images.fotmob.com/image_resources/logo/teamlogo/9825.png","https://images.fotmob.com/image_resources/logo/teamlogo/10204.png",2023-05-14 08:30:00,"4-2-3-1","Mikel Arteta","Roberto De Zerbi","aaron ramsdale","jason steele","20230514",-11.5,2.9,-0.2,-16.6,6.3,-11.7,2.7,2023-05-14,-135,320,310,160,-198,-452,107
"RB Leipzig","Werder Bremen","draw",82.5,9.5,16.7,70.2,34.7,63.1,13.8,19.4,39.6,54.1,116,33.3,38.9,32.9,248,1788,"expected","GER 1. Bundesliga","3903825","janis blaswich","lukas klostermann","mohamed simakan","willi orban","benjamin henrichs","dominik szoboszlai","konrad laimer","amadou haidara","dani olmo","christopher nkunku","timo werner","romano schmid","marvin ducksch","anthony jung","jens stage","christian gross","leonardo bittencourt","mitchell weiser","marco friedl","niklas stark","amos pieper","jiri pavlenka","","","","","","","","","","","","","","","","","","","","","","","30.3030","10.0000","10.0000","20.0000","23.8095","46.5116","17.5439","11.7647","42.5532","55.5556","53.4884","16.6667","25.6410","6.6667","13.3333","5.2632","14.2857","6.2500","4.3478","5.2632","4.7619","32.2581","0.0000","4.1600","4.5850","6.2225","2.7825","23.5375","5.2250","13.7525","19.3175","37.7450","31.9325","16.9700","21.4250","1.9975","9.4675","1.8800","4.7150","1.3925","1.7950","1.6875","6.9300","0.0000",33.9485,62.2532,53.2248,64.6634,53.1573,45.2413,46.7714,57.6695,26.7002,26.7285,19.9491,19.1058,17.3748,36.1417,30.961,36.3571,26.3807,30.6814,41.7533,38.0752,41.7772,30.1261,0,0.557,0.6953,0.8355,0.593,1.6753,0.9486,1.1024,2.0001,2.4416,2.5089,1.1206,2.2468,0.395,1.0686,0.2527,1.2691,0.5791,0.4001,0.279,0.391,0,0,0.1583,0.2713,0.265,0.1616,0.7992,0.2698,0.357,0.6348,1.1485,1.0247,0.4556,0.8077,0.0697,0.3344,0.0697,0.2912,0.1476,0.1405,0.0327,0.1439,0,0,1,1,1,1,3,3,3,3,5,5,5,5,3,3,3,3,3,1,1,1,0,58.6,0.1,"https://images.fotmob.com/image_resources/logo/teamlogo/178475.png","https://images.fotmob.com/image_resources/logo/teamlogo/8697.png",2023-05-14 08:30:00,"4-4-2","Marco Rose","Ole Werner","janis blaswich","jiri pavlenka","20230514",-19.4,4.2,2.8,-16.1,4.9,-16.6,7,2023-05-14,-471,953,499,188,-236,-12400,282
"AGF Aarhus","FC Nordsjaelland","draw",44.4,33.9,31.2,51.5,57.3,32.8,32.9,26.1,51.5,42,27.8,11,39.9,23.3,184.6,750,"expected","DEN Superligaen","4143864","jesper hansen","tobias mlgaard","frederik tingager","yann aurel bisseck","felix beijmo","mads emil madsen","nicolai poulsen","gift links","mikkel duelund","mikael anderson","patrick mortensen","mohammed diomande","wahid faghir","ernest nuamah","daniel svensson","jacob steen christensen","mads bidstrup","martin frese","adamo nagalo","kian hansen","oliver villadsen","andreas hansen","","","","","","","","","","","","","","","","","","","","","","","25.6410","5.8824","8.3333","13.3333","11.7647","15.3846","10.5263","13.3333","24.3902","24.3902","42.5532","21.7391","30.3030","29.4118","14.2857","10.5263","13.3333","6.2500","5.8824","6.6667","10.0000","25.6410","0.0000","2.1825","2.5900","4.1000","1.9475","8.0075","1.1250","8.3625","15.7100","22.0250","29.2825","11.7050","27.4000","23.5200","3.7125","4.5900","10.4175","2.4200","5.9800","0.8425","0.9600","0.0000",37.5054,42.8222,50.4441,55.0258,48.7565,39.4236,44.0998,28.9911,31.0573,30.7659,20.947,40.0475,14.8305,22.2856,36.4813,48.3893,50.9485,42.5484,64.1928,57.5688,39.7546,42.8723,0,0.4386,0.6106,0.6393,1.185,1.1174,0.1799,1.3644,2.4313,1.807,2.5717,2.0423,1.8736,2.1685,1.0116,0.9349,0.9561,0.494,0.4498,0.4258,0.3414,0,0,0.1632,0.1684,0.1418,0.0923,0.5858,0.0801,0.3664,1.0572,0.4605,1.1131,0.4595,1.1191,0.7149,0.2049,0.2437,0.4309,0.0609,0.2235,0.0374,0.1399,0,0,1,1,1,3,3,3,3,4,4,5,5,5,5,3,3,3,1,1,1,1,0,32.9,100,"https://images.fotmob.com/image_resources/logo/teamlogo/8071.png","https://images.fotmob.com/image_resources/logo/teamlogo/10202.png",2023-05-14 09:00:00,"3-4-2-1","Uwe Rösler","Johannes Hoff Thorup","jesper hansen","andreas hansen","20230514",-11.7,-1,-5.1,-9.5,-5.8,-16.8,-6.2,2023-05-14,125,195,221,-134,-106,-310,-187
"Bologna","AS Roma","draw",35.1,37.7,33.3,40,64.8,27.6,39.5,25.4,50.9,47,66.1,116.4,48.1,67.2,316.2,2194,"expected","ITA Serie A","3919359","lukasz skorupski","lorenzo de silvestri","kevin bonifazi","joaquin sosa","andrea cambiaso","nicols dominguez","jerdy schouten","riccardo orsolini","lewis ferguson","michel aebischer","musa barrow","tammy abraham","lorenzo pellegrini","paulo dybala","leonardo spinazzola","edoardo bove","nemanja matic","nicola zalewski","roger ibanez","bryan cristante","gianluca mancini","rui patricio","","","","","","","","","","","","","","","*","","","","","","","","25.0000","10.5263","8.3333","5.0000","5.8824","14.2857","9.0909","28.5714","28.5714","11.1111","23.8095","35.0877","22.2222","33.3333","9.0909","10.0000","6.2500","15.3846","10.0000","13.3333","8.3333","25.6410","0.0000","7.2975","1.7350","1.6525","1.6650","7.4125","0.6050","18.1325","18.8625","5.5475","25.2325","35.7775","19.3800","18.9325","17.8725","1.4650","1.7050","1.5925","5.4100","2.1300","2.4975","0.0000",29.4056,35.5501,53.5606,41.8566,48.8738,39.6434,45.6362,18.5588,33.5711,26.9915,19.7439,22.4082,31.0201,33.1416,33.4632,38.286,62.9948,38.137,57.9112,48.315,56.7227,23.2622,0,0.4666,0.7521,0.2212,0.4907,0.9577,0.4641,1.6382,1.8322,0.8587,2.175,2.7524,1.7201,2.4618,1.0732,0.5363,0.5929,1.4468,0.6052,0.3096,0.5903,0,0,0.1897,0.0895,0.0895,0.1182,0.2469,0.0973,0.5524,0.6625,0.2633,0.8985,1.0997,0.9987,0.6761,0.5557,0.1391,0.1538,0.2025,0.2254,0.1513,0.0981,0,0,1,1,1,1,2,2,3,3,3,5,5,4,4,3,3,3,3,1,1,1,0,0,54.2,"https://images.fotmob.com/image_resources/logo/teamlogo/9857.png","https://images.fotmob.com/image_resources/logo/teamlogo/8686.png",2023-05-14 09:00:00,"4-2-3-1","Thiago Motta","José Mourinho","lukasz skorupski","rui patricio","20230514",-7.5,1.7,-8,7,-13.9,-15.5,-6.2,2023-05-14,185,165,200,-184,150,-216,-245
"Union Saint Gilloise","Genk","draw",52.4,29.4,27,64.5,43.5,38.4,33.9,25.1,46.3,48.9,48.2,107.2,52.5,48.6,444.9,1720,"matt predicted","BEL First Division A","4161640","anthony moris","ismael kandouss","siebe van der heyden","christian burgess","senne lynen","jean thierry lazare","loic lapoussin","bart nieuwkoop","teddy teuma","simon adingra","victor okoh boniface","maarten vandevoordt","carlos cuesta","mark mckenzie","gerardo arteaga","daniel munoz","patrik hrosovsky","bryan heynen","eboue kouassi","joseph paintsil","bilal el khannous","mbwana samatta","","","","","","","","","","","","","","","","","","","","*","","","14.2857","7.1429","9.5238","16.6667","12.5000","23.2558","23.8095","16.9492","39.2157","31.2500","37.7358","16.6667","3.7037","5.0000","6.2500","16.6667","15.3846","23.2558","7.6923","23.8095","16.6667","32.2581","0.0000","1.8450","3.1250","6.6225","3.4400","4.5500","4.6825","10.7600","14.0875","19.5225","34.0075","0.0000","1.1750","3.7700","2.1100","5.8250","0.2575","9.8875","11.4875","31.5250","0.9700","26.9650",34.237,46.4337,50.2309,51.2272,44.6419,24.002,41.1964,26.563,51.4232,21.1233,22.5414,32.9886,46.022,59.2243,42.1384,54.4013,58.1579,46.596,38.6002,18.9448,32.957,17.9894,0,0.7598,0.1693,0.7415,0.8112,1.1224,1.1006,0.9743,1.4975,1.7281,2.8511,0,0.2547,0.489,0.4416,0.6521,0.5472,1.1405,0.7326,2.3097,1.4428,1.927,0,0.1748,0.066,0.28,0.1972,0.3479,0.3048,0.3234,0.4931,0.7107,1.2039,0,0.041,0.1491,0.0657,0.267,0.0545,0.4392,0.2424,1.283,0.1929,0.8422,0,1,1,1,3,3,3,3,3,5,5,0,1,1,1,1,2,2,3,3,3,5,100,100,"https://images.fotmob.com/image_resources/logo/teamlogo/7978.png","https://images.fotmob.com/image_resources/logo/teamlogo/9987.png",2023-05-14 09:30:00,"3-5-2","Karel Geraerts","Wouter Vrancken","anthony moris","maarten vandevoordt","20230514",-14,4.5,-1.9,-15.7,2.8,-15.9,2.6,2023-05-14,-110,240,270,130,-182,-385,-129
"Real Valladolid","Sevilla FC","draw",45.5,32.3,29.4,52.4,52.4,24.6,46.4,27,57.8,39.2,37.6,55.6,23,28.5,90,2180,"expected","ESP LaLiga","3918276","jordi masip","ivn fresneda","joaquin fernndez","martin hongla","jawad el yamiq","sergio escudero","lvaro aguado","monchu","kike prez","gonzalo plata","cyle larin","rafa mir","alejandro gomez","oliver torres","erik lamela","fernando","pape gueye","alex telles","nemanja gudelj","loic bad","gonzalo montiel","marko dmitrovic","","","","","","","","","","","","","*","","","","","","","","","","9.5238","3.8462","5.0000","14.2857","6.2500","6.2500","14.2857","23.2558","12.5000","27.7778","55.5556","33.3333","14.2857","17.5439","24.3902","10.0000","9.0909","4.1667","9.0909","5.0000","6.2500","32.2581","0.0000","2.1025","1.8850","2.2200","3.3725","4.3550","5.2900","11.7225","5.0625","12.7450","26.1650","23.9000","21.2425","8.1875","28.1950","5.5525","5.1950","4.3650","2.3650","5.2950","0.3775","0.0000",23.4448,24.4301,28.7898,37.8991,36.0631,27.182,37.2337,23.8045,23.4685,20.8006,14.0395,16.8434,33.9896,27.5359,24.6905,43.9465,55.2517,41.2118,56.0865,55.6264,36.3271,26.2487,0,0.1065,0.3477,0.1065,1.0807,1.0485,0.6169,0.8382,1.1382,1.4621,2.0994,2.0729,1.4425,0.6681,3.0024,0.2557,1.411,0.6817,0.5889,0.3297,0.4404,0,0,0.0846,0.0846,0.0846,0.1671,0.1953,0.1293,0.2893,0.3096,0.3977,0.7898,0.8652,0.5571,0.2044,1.1402,0.2716,0.2716,0.2256,0.0924,0.1164,0.1049,0,0,1,1,1,1,1,3,3,3,5,5,5,3,3,3,2,2,1,1,1,1,0,61.5,0,"https://images.fotmob.com/image_resources/logo/teamlogo/10281.png","https://images.fotmob.com/image_resources/logo/teamlogo/8302.png",2023-05-14 09:30:00,"5-3-2","Paulo Pezzolano","Jose Luis Mendilibar","jordi masip","marko dmitrovic","20230514",-20.8,14.1,-2.5,-13.2,5.4,-23.3,11.7,2023-05-14,120,210,240,-110,-110,-298,-161
"Bradford City","Carlisle United","draw",46.5,27.8,32.3,43.9,64.3,43.6,28.5,26.2,56.1,40,47.2,48.1,25.7,24.6,494.7,1038,"matt predicted","ENG League Two","4167696","harry lewis","liam ridehalgh","romoney crichlow noble","matty platt","bradley halliday","alex gilliead","richard smallwood","scott banks","jamie walker","harry chapman","andy cook","tomas holy","morgan feeney","paul huntington","jon mellish","fin back","jordan gibson","jack armer","callum guy","owen moxon","omari patrick","kristian dennis","","","","","","","","","","","","","","","","","","","","","","","26.3158","3.3333","6.2500","7.1429","6.2500","12.5000","12.5000","24.3902","23.8095","6.2500","42.5532","6.2500","14.2857","8.3333","16.6667","14.2857","14.2857","7.6923","11.7647","14.2857","23.2558","31.2500","0.0000","0.6600","0.6475","3.3800","10.0675","9.3050","3.1525","23.6575","17.5125","11.1050","30.3075","0.0000","4.6450","1.2750","2.5675","1.1975","16.2725","6.7550","1.2025","7.7475","8.1550","34.3000",27.3578,41.297,57.2801,51.2993,51.4228,39.428,60.8746,26.4835,36.4314,26.6958,18.6987,29.4996,40.7238,41.0777,42.0317,28.971,32.115,30.0319,33.1521,40.4969,19.722,16.8037,0,0.2216,0.6238,0.8485,0.6589,1.0448,0.8361,1.8945,2.2437,1.6417,2.5057,0,0.4638,0.4707,0.4205,0.4269,1.5128,0.6355,0.6318,1.4875,2.0868,2.0078,0,0.1352,0.1411,0.203,0.1476,0.3461,0.1516,0.8661,0.6908,0.4904,0.9916,0,0.1303,0.1144,0.1068,0.2235,0.6265,0.1878,0.1149,0.2266,0.782,0.807,0,1,1,1,1,2,2,3,3,3,5,0,1,1,1,3,3,3,3,3,5,5,100,100,"https://images.fotmob.com/image_resources/logo/teamlogo/8484.png","https://images.fotmob.com/image_resources/logo/teamlogo/10196.png",2023-05-14 11:00:00,"4-2-3-1","Mark Hughes","Paul Simpson","harry lewis","tomas holy","20230514",-2.9,0.7,-6,-3.9,-8.2,-8.9,-5.3,2023-05-14,115,260,210,-180,128,-372,-151
"Toluca","Tigres UANL","draw",50,30.3,27.8,60.6,47.6,34,36,26.5,52.5,40.9,68.6,15.6,21.4,46.5,626.1,1100,"matt predicted","MEX Liga MX","4167670","tiago volpi","brayan angulo","andrs mosquera","valber huerta","brian garcia","marcel ruiz","claudio baeza","leonardo fernandez","maximiliano araujo","jean meneses","carlos gonzalez","nahuel guzman","diego reyes","igor lichnovsky","javier aquino","jesus angulo","juan pablo vigon","francisco cordova","rafael carioca","guido pizarro","nicols ibánez","andre pierre gignac","","","","","","","","","","","","","","","","","","","","","","","19.6078","6.6667","5.5556","11.7647","14.2857","16.6667","10.5263","35.0877","27.7778","31.2500","35.0877","18.8679","10.0000","7.1429","16.6667","7.6923","22.7273","21.7391","7.1429","7.1429","35.7143","46.5116","0.0000","2.8125","0.6550","8.5000","0.6000","6.1400","6.2475","20.1800","16.3175","8.7225","27.4750","0.0000","9.3400","0.4625","1.6850","0.1500","7.4525","19.8650","1.9500","4.8850","30.1050","22.8350",30.1107,43.4297,46.9954,52.6865,36.1028,42.6197,49.1807,31.9177,20.0112,31.7716,17.1851,28.8426,36.8787,41.6817,40.9163,37.492,22.661,22.6412,42.6141,45.4064,18.1267,23.1171,0,0.6182,0.3434,0.7594,0.3927,1.1841,0.5095,2.1261,1.2174,1.633,2.0911,0,0.5667,0.343,0.6583,0.3905,1.1937,2.1105,0.4343,0.7843,2.11,2.577,0,0.1792,0.0617,0.2865,0.0617,0.4102,0.056,0.7152,0.4838,0.5543,0.874,0,0.1853,0.0974,0.2005,0.0224,0.4756,0.6523,0.1407,0.1124,0.8717,1.0377,0,1,1,1,1,2,2,3,3,3,5,0,1,1,1,1,3,3,3,3,5,5,100,100,"https://images.fotmob.com/image_resources/logo/teamlogo/6618.png","https://images.fotmob.com/image_resources/logo/teamlogo/8561.png",2023-05-14 11:00:00,"4-2-3-1","Ignacio Ambriz","Robert Siboldi","tiago volpi","nahuel guzman","20230514",-16,5.7,-1.3,-19.8,4.9,-17.3,4.4,2023-05-14,100,230,260,110,-154,-350,-139
